gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
BAZ2B-AS1	1.30895591591908	7.24792228907743	6.77660195098124	4.95871052361361e-06	5.67821421778769e-05	4.10941395054828
LOC100310756	1.19803322289593	5.75518358287165	6.77576324227636	4.96602119491061e-06	5.67821421778769e-05	4.10791102894311
DPM1	-1.29987463600894	9.9278673287614	-6.77571209726048	4.96646736846162e-06	5.67821421778769e-05	4.10781937661955
PRR5	1.93499081154803	6.79775353297853	6.76994235980389	5.01707051073188e-06	5.7057174398147e-05	4.0974776222194
ABCF1	1.13685929496159	7.64655800295346	6.76425483304101	5.06747978027463e-06	5.74471204398465e-05	4.0872786958267
MPP1	2.46486642152481	10.2686979621665	6.76208466840885	5.08685337306111e-06	5.75585017846854e-05	4.08338595147342
ACKR1	1.25550127623504	3.49643272863825	6.76199924509287	5.08761754821972e-06	5.75585017846854e-05	4.08323270955939
PLPPR2	1.10132034350875	5.8512002496192	6.76160919199531	5.09110838715964e-06	5.75666494810588e-05	4.08253297573113
SAC3D1	1.02861033291083	6.74426292405381	6.75747876417895	5.12822811271122e-06	5.78297810202062e-05	4.07512191795589
USP7-AS1	1.06682377599714	4.1741329477445	6.75221252297398	5.17596554567646e-06	5.83050719297528e-05	4.06566947880508
CHPT1	1.06241677177976	6.09991021699382	6.74900323113223	5.20528446981149e-06	5.85089680006504e-05	4.05990719299373
GAS2L1	1.25655755173985	4.97658254747089	6.73870487483357	5.30054309478579e-06	5.94070510358366e-05	4.04140682374658
RBIS	-1.56992582942631	7.40082844409715	-6.73195793490776	5.36393687772703e-06	5.98408829642467e-05	4.02927836927765
FABP5	-1.09995301121089	6.98612287831878	-6.71968055400821	5.48133329426429e-06	6.09225227410451e-05	4.00719204477358
FAXDC2	1.92706541635448	6.88076758236365	6.71485136444945	5.52824226457531e-06	6.1215599853275e-05	3.99849886466481
KIR3DL1	1.42887274709681	4.0950752474453	6.71187759725127	5.55733666251336e-06	6.14399350574211e-05	3.99314407896672
H2BC9	2.03514090849729	6.17731021124726	6.70208843411911	5.65424506137263e-06	6.21161557595558e-05	3.97550831093362
LOC105379250	-1.88855968955947	4.39126137135872	-6.69724553834649	5.70283822520501e-06	6.25120763911138e-05	3.96677862212113
MTX1	1.00175227227347	8.50761391899104	6.69563826404561	5.71906164528554e-06	6.26304798130955e-05	3.96388066793757
LILRA1	1.11613922483981	7.64799668087592	6.68643879284262	5.81285037405394e-06	6.34245211838459e-05	3.94728689899444
JAZF1	1.69433972098322	8.98500227099323	6.67980654833377	5.88146114670509e-06	6.40726070196144e-05	3.93531653911747
RNPEPL1	1.1223861513157	7.27915643733727	6.67278784017826	5.95499114950543e-06	6.46196793352335e-05	3.92264201171746
R3HDM4	1.70995120757458	11.6720202386972	6.66609723171445	6.02597738016763e-06	6.51367565311177e-05	3.91055360830096
CBWD2	-1.4490226635044	8.40318851890485	-6.66450740024314	6.04297472295573e-06	6.51853871097738e-05	3.90768023199085
LINC01857	1.15993157481914	3.45403388988306	6.663572173169	6.05299687024475e-06	6.52260437536394e-05	3.90598978877954
BRAT1	1.21807360157243	4.80931525796214	6.66218820974942	6.06785963764573e-06	6.53524459269826e-05	3.90348802219788
DBNL	1.04276378011045	7.12012264968607	6.65351646631852	6.16185903430294e-06	6.60828096407247e-05	3.88780621271507
ATP5ME	-1.65892286792822	9.12729119463411	-6.64735180543018	6.22960557590808e-06	6.65107633186256e-05	3.87665181697797
SH2D2A	1.24308109482116	6.45196920299721	6.64514163256112	6.25408316794081e-06	6.66697409553302e-05	3.87265142537318
MYOM2	-2.22649653602233	7.80314614831437	-6.64416878920286	6.26488916724958e-06	6.6750826254934e-05	3.87089037348973
MTLN	1.00342112954426	5.98846897542397	6.64331586304074	6.27437919773197e-06	6.68178146110691e-05	3.86934628904442
BTBD11	1.18320189186595	4.55962681045477	6.64158933527763	6.29363524755021e-06	6.69886829257104e-05	3.86622038175207
OSGEP	1.01360438876876	6.39365658646142	6.63875665654866	6.32536195349385e-06	6.72920454226357e-05	3.86109087402492
CPNE2	1.48130660273267	6.77358479113199	6.6339732133063	6.37931712786284e-06	6.77278951254323e-05	3.85242633137181
THTPA	1.55181835392532	5.5078570311973	6.63219881691578	6.39945347267968e-06	6.79071202172144e-05	3.84921145201318
FKBP1B	3.02148121463488	7.4633167438824	6.63039266464988	6.42001831533067e-06	6.79981124978736e-05	3.84593858844118
CHRAC1	1.13235379004037	5.23626263443089	6.6303007996593	6.42106613080294e-06	6.79981124978736e-05	3.84577211110546
FLJ32255	1.0258462064602	7.06125810391024	6.62717433396423	6.45683329982341e-06	6.83177500559001e-05	3.84010564594727
TGM2	1.51478409973108	3.42715129005191	6.62520185713356	6.47950558244353e-06	6.8443263524525e-05	3.83652999457535
CA2	2.21683066717701	7.80156360988256	6.62337222144409	6.50061026797262e-06	6.84621795051749e-05	3.83321279938677
STMP1	1.01733432489718	7.87095043840288	6.62120825606035	6.52566402999626e-06	6.86873879887901e-05	3.82928885335066
TRAV13-1	1.77155328771484	5.85338222974315	6.61334944928667	6.61750158055205e-06	6.9466591546775e-05	3.8150329187366
TAF15	-1.35791533426131	6.09161256375655	-6.61171042595227	6.63682447690946e-06	6.95416535596611e-05	3.81205863907898
TMEM250	1.16735983934172	7.43154392319282	6.5999656454736	6.7770206220506e-06	7.06911021086098e-05	3.79073489381211
ZNF479	-1.4541071000621	3.42578216099854	-6.59619288578448	6.82270850129186e-06	7.11321063238135e-05	3.78388103989399
GALNT6	1.10747026044992	4.74339237286683	6.59107706423897	6.88517463369017e-06	7.15331241075918e-05	3.77458413748042
TMEM45B	1.44310974636388	5.3113089264205	6.58803376511157	6.92261723666147e-06	7.1814838782313e-05	3.76905187757415
MICB	1.05387011968711	9.78362911535396	6.57639379645268	7.06779844705445e-06	7.30304166431154e-05	3.74788032879199
FCRL4	-1.34309247620396	3.17441759858711	-6.57139581050927	7.1311078900156e-06	7.35388891752375e-05	3.73878390148623
DBN1	1.1062500053968	3.86621843759131	6.55683314611967	7.31896794753653e-06	7.49206620812105e-05	3.71225986254205
GUCY1B1	1.2916478765916	4.58578870527773	6.55599634458699	7.32991839458208e-06	7.49390193513563e-05	3.71073484322573
H4C8	1.38353987236954	3.74929515676992	6.54720858498062	7.44595304532034e-06	7.5752029119618e-05	3.69471383963424
